"ID";"EigenaarHuurder";"HuishoudensEnWoningkenmerken";"RegioS";"Perioden";"TotaleWoonlasten_2";"NettoWoonlasten_3";"BijkomendeWoonlasten_4";"Woonquote_5"
"282144";"A047048";"ZW10290";"GM0757";"2022JJ00";"    1133";"     899";"     234";"    37.0"
"282145";"A047048";"ZW10290";"GM0758";"2018JJ00";"    1013";"     795";"     218";"    38.7"
"282146";"A047048";"ZW10290";"GM0758";"2019JJ00";"    1057";"     831";"     225";"    38.2"
"282147";"A047048";"ZW10290";"GM0758";"2020JJ00";"    1067";"     862";"     205";"    37.3"
"282148";"A047048";"ZW10290";"GM0758";"2021JJ00";"    1124";"     900";"     224";"    37.6"
"282149";"A047048";"ZW10290";"GM0758";"2022JJ00";"    1126";"     926";"     200";"    36.0"
"282150";"A047048";"ZW10290";"GM0501";"2018JJ00";"    1024";"     810";"     215";"    38.8"
"282151";"A047048";"ZW10290";"GM0501";"2019JJ00";"    1034";"     811";"     223";"    38.5"
"282152";"A047048";"ZW10290";"GM0501";"2020JJ00";"    1047";"     837";"     210";"    37.4"
"282153";"A047048";"ZW10290";"GM0501";"2021JJ00";"    1088";"     861";"     227";"    36.4"
"282154";"A047048";"ZW10290";"GM0501";"2022JJ00";"    1071";"     869";"     202";"    35.8"
"282155";"A047048";"ZW10290";"GM1876";"2018JJ00";"";"";"";"       ."
"282156";"A047048";"ZW10290";"GM1876";"2019JJ00";"";"";"";"       ."
"282157";"A047048";"ZW10290";"GM1876";"2020JJ00";"";"";"";"       ."
"282158";"A047048";"ZW10290";"GM1876";"2021JJ00";"";"";"";"       ."
"282159";"A047048";"ZW10290";"GM1876";"2022JJ00";"";"";"";"       ."
"282160";"A047048";"ZW10290";"GM0213";"2018JJ00";"";"";"";"       ."
"282161";"A047048";"ZW10290";"GM0213";"2019JJ00";"";"";"";"       ."
"282162";"A047048";"ZW10290";"GM0213";"2020JJ00";"";"";"";"       ."
"282163";"A047048";"ZW10290";"GM0213";"2021JJ00";"";"";"";"       ."
"282164";"A047048";"ZW10290";"GM0213";"2022JJ00";"";"";"";"       ."
"282165";"A047048";"ZW10290";"GM0899";"2018JJ00";"     748";"     551";"     197";"    38.1"
"282166";"A047048";"ZW10290";"GM0899";"2019JJ00";"     795";"     583";"     212";"    37.6"
"282167";"A047048";"ZW10290";"GM0899";"2020JJ00";"     802";"     608";"     195";"    36.8"
"282168";"A047048";"ZW10290";"GM0899";"2021JJ00";"     847";"     629";"     217";"    37.8"
"282169";"A047048";"ZW10290";"GM0899";"2022JJ00";"     811";"     630";"     181";"    34.6"
"282170";"A047048";"ZW10290";"GM0312";"2018JJ00";"";"";"";"       ."
"282171";"A047048";"ZW10290";"GM0312";"2019JJ00";"";"";"";"       ."
"282172";"A047048";"ZW10290";"GM0312";"2020JJ00";"";"";"";"       ."
"282173";"A047048";"ZW10290";"GM0312";"2021JJ00";"";"";"";"       ."
"282174";"A047048";"ZW10290";"GM0312";"2022JJ00";"";"";"";"       ."
"282175";"A047048";"ZW10290";"GM0313";"2018JJ00";"";"";"";"       ."
"282176";"A047048";"ZW10290";"GM0313";"2019JJ00";"";"";"";"       ."
"282177";"A047048";"ZW10290";"GM0313";"2020JJ00";"";"";"";"       ."
